"HolderAddress","Balance","PendingBalanceUpdate"
"0x2c625f0e928e337d39b212b5a402fa8892d20242","9,000,046.685837131","No"
"0x45ca53be5af05dc93e1d7cab3eab610a88890295","714,420.97426575","No"
"0xecf6feaeae13c9a7ce22c3ef7b350bcf92032b24","255,572.027334946","No"
"0x399b22170b0ac7bb20bdc86772bff478f201ffcd","150,184.72124983","No"
"0x0f6dfb3114eaefb584bfb68288f13b7265901beb","142,492.133600285","No"
"0xf9bd9b772878dff443a1d1018ea6c8c55790e5f8","69,600.39841778","No"
"0x39be5358e423863f0c0e14d0ad828a4764dc331b","57,229.650786258","No"
"0x9206c33222e42cd19fa52ef33398ef355b1b74e7","49,054.027491454","No"
"0xaf5b5205202abfeb7089d840d1df82cffd40d938","47,932.142713491","No"
"0x41d9650faf3341cbf8947fd8063a1fc88dbf1889","40,217.570444898","No"
"0xf40555e5c8afd1431c4c773dc8f42e6cc4ac90e3","39,081.544282312","No"
"0x00af9a73065ecc3089057c580e07546ac979e94b","39,000.949345606","No"
"0xb80fb15b754f08849d93ebe591ed20dd1fe8297d","38,333.244651768","No"
"0xbf9e7c2f5327b4b6f14f1038b6d2843bbb5e625b","37,524.203231679","No"
"0x25717953291f11caae385bad31b01ed5160f16e5","35,238.939900546","No"
"0x82688d5687735ffa2d2d3a6170e7a1e1b2e0c7bb","32,835.826890756","No"
"0xff216fb13780fbd0177e922727a0bc3f5d5d5e1c","32,002","No"
"0xcaa029313815948aa7dd65838e041a264d573fec","30,000","No"
"0x45cd10d729010eb5c06f12a8060900efcd7ecf61","28,523.499632842","No"
"0x613db20e6a61947fed05e8e6f81961db40d41e58","28,166","No"
"0xa975defc9ff03178bb413cb880d2b7e7200075fc","27,842","No"
"0x995749a8bc351e7fa7accfcc91bfc79f4019d117","27,783","No"
"0x7ce34941d152b44079a3d7cf969b99a381167632","25,899.46183766","No"
"0x800b428e82013d31d715981290a3c12cefa51f4b","25,565","No"
"0x7e72f70c8f032c602659e4651823dc00af4fea5a","25,205","No"
"0xee7a81776722d2a16d6ab5c548dbe255155d46d9","25,113.477710982","No"
"0x67ec2731495c4bf3785ecb510a94503fbf36ece9","23,893.269823152","No"
"0x032bdda6fb38fa7f59d87d65de8f888199569a66","23,057.672995034","No"
"0x062802fe47073e6bb4f584de15952fc3f1621405","22,255.782980118","No"
"0x0b9e897d69ab62f35300467dc252bee3efc50703","22,209.724894476","No"
"0xc20b3c16ee4ba0c587aa640c83fa17fa5012fc08","22,182.390560549","No"
"0x2b86af59bb6a8f081e97fb9b0b588ce9a325e14d","21,990","No"
"0xb5bdedac5a9ef8d050d8d837973e3bc24ac3b9c1","21,705.227179472","No"
"0xdfaa8ed5fc6ba8b1cd155ffd9f2a672065255d6d","21,556","No"
"0xda7cc02a7db2a50128854d736fc2cd2982dcae42","21,405.779105466","No"
"0x99ce024564ae9d1fd80733e27c5cced8d076befc","21,301","No"
"0xfe49e9ee13329a6c9ada764cb521f5e702835afc","21,300","No"
"0xe14bd42584121182af105c279a3e134eca3facc6","20,900.000001931","No"
"0x79931166b5a1563428c0948c436c8b9a2d51f9e5","20,762","No"
"0x248ce8a2551af8ef7c44b2159b8f4d840d079ad8","20,579","No"
"0xd540955e554270a81ee5f0d1120fda62b955f327","20,494","No"
"0xcd94e342b5aaafb1263a47714cfca8992a6349c5","20,435","No"
"0xdb358134422e1572af8ae0e15f562387859819e6","20,355","No"
"0x6cb4511e8f5608164bd80352505133d86d97a733","20,284.214421843","No"
"0x5eeb42eeed58fad4617b29933c73f74455b3ad4d","20,062","No"
"0x8a62c836676d616eb199751b64209b4045694d0c","20,000","No"
"0x53321c157714c02e5421de15701e139d0da3234b","19,941","No"
"0x699dd0d8164edd0da0b70c9464cc0912c0444699","19,846.791688682","No"
"0x6533038d39a883669a08ae42704d43eddf56379e","19,819","No"
"0xa56eabc0227c6a9f68e3b56dee53d139d09e02e9","19,186.288204343","No"
"0x83e9a4ce037c7519ebe909f2fb78539112e87377","19,027.001023688","No"
"0x15a3988eb2456d63519e32c99dfb98f239508d25","19,000","No"
"0x566c2323b4a2f686b21649c96832890b459cbf06","18,238.6351792","No"
"0x2878fdb146bed98a09f19b90a95f988b625616a5","18,204.994609309","No"
"0x1e1ba34337b4df37d907350c76b51a864db15e0e","18,000","No"
"0xd50767cfe47e25efa4dd302faaf0c1f3a0d0c942","18,000","No"
"0xd1933649a5c8aa96fcd3117b0ac2b8cba73d7829","16,966.112007173","No"
"0x689cfbfcc36e46df039a26fa81f5d4d1ef88c005","16,689.202951805","No"
"0xac91c31ca14d787a1e02bc5fc8ef693780e6b6f2","16,586.083041376","No"
"0x2e58187d97af68953cf4066980cdef5989311dca","16,290","No"
"0x4b0353d2ff9b97072e550334577c5893c8a1e004","16,275","No"
"0xca7835b037485df49e65ceb55d64a37b954a2881","16,000","No"
"0x57289674251ba5d38e00ebf3be1571f8505c3743","15,933.48953006","No"
"0x647af76b427ee305c44e93acb8676786c13aee5e","15,541","No"
"0xd3539fc7f756c6cbd5b90e220d9b1ea883a7bd42","15,454","No"
"0x1cacd53c0b23f591ae023932914bc4a74da789f6","15,227","No"
"0x8be2936ba9c5a241f2b5169a59e9637e57da40c7","14,795","No"
"0x2858540380bce86a4998c9a053153665c0c3041c","14,792.162304601","No"
"0x3be0714242d89c23adbab9fb4f3dd96324318128","14,664.278537682","No"
"0xafc6730de1f081d3ee7787218f513b84de81c2a9","14,492.07307206","No"
"0x4532de4485d210a1e459623ffd3913e42fb18d95","14,414","No"
"0xf606efe583e1d2a20c08e890070192082f7e9062","14,056.330832918","No"
"0x10aa3e3ccf1d93591feaa567d3f1954b374ca5e3","13,767.005430633","No"
"0x508aa2db0133f01d63b6e5fe9f19bcf20d577faf","13,589.995958975","No"
"0xd683aadab0479e8975fdab653a4a0a0dd312d5a2","13,500","No"
"0x97c91c727c95ce56ed74cf231d23acccf7034234","13,451","No"
"0xc172a8177892c15e7f035ebc13a56997d94288b3","12,197","No"
"0x7d8556f68d5e04c98da61e52f7301354af964784","12,065.119725688","No"
"0x139b5cb56219f191d348bb1546a448686e60fc34","11,733","No"
"0xc98f67426830c05ce49b73ef2e9ed5ed97102227","10,593.41743379","No"
"0xfd92ce6177523a3da530c19515a94b83bd196bd3","10,536.493836038","No"
"0xc7961e1e762d4b1975a3fcd07b8f70e34726c04e","10,219.120935603","No"
"0x47e67c4b39addb484ee0619c4250e1f8f0c3e86a","10,053.478733274","No"
"0x99486b5c1f36ed87b5e8ac3ac35e425ab840b3f9","10,002","No"
"0xf6e0c472468e41298fcbcaa15e5e7b988767ff45","10,000.478205437","No"
"0xd9bc67445dc8132a99b666592308db50abaff539","10,000.413705021","No"
"0xe1f5ad358b3428ff920a9c1e0efe62028954e367","9,382.904256331","No"
"0xfaf4b2a58722e999e81cb8361a0c24709c41581c","9,205.834914803","No"
"0x0768b91296638269e86a8ac41d8752a053480aa9","9,200","No"
"0xe1cbd7e33ec8b858be82686b965b8cee910d1953","9,110.77028398","No"
"0x59f854b02d6d643ac9f36a1a4fc0d5f45f0a02e5","8,368","No"
"0xe24485bd778153db7ff4a8da8b2c2444f35b7312","8,100","No"
"0xeaa275c4e448b2807455bbb49c1eb9ea7d689aec","8,026.075452804","No"
"0x8ee718a5e1f9468a45b3086f339f54a60cf501b6","7,693.160416009","No"
"0x0cd2acbb668dcd5b0e0a06ffc3d535cc4b2a25af","7,674.454671094","No"
"0x1a9c346754390d0c8d48e538d30156792829716e","7,569.036649484","No"
"0x0956f10c6d7e9a0fa38e2acf167fc35ae85b62c0","7,539.920145775","No"
"0xcf01ed2ada079c1aa766dee157e25f82ec871cf6","7,537","No"
"0x3a5dd5bc06bf0069338c77286c4948b599eb8fe5","7,513.208761687","No"
"0xf844d2093cd13c4a8d2fd8e1bd79d15a9ebe2962","7,492.335516764","No"
"0xc3e6b6a9265db48a2afdd2a40008d8d606db79a2","7,474.277000597","No"
"0xa475ab627a7626993dbdf70cd0b9fee026c6bffa","7,432.038783721","No"
"0x65ae8e30e26775eb39175d1661ab43e51bc1af08","7,405.220260094","No"
"0x2aef93828017a54128cc304290435253ae08ac49","7,255.739226345","No"
"0x9753560cb675e93db62266742c76bef2d22d8f21","7,136.311495229","No"
"0x8be500090bd3c6cf0501a9986658a11045f9aa0d","6,989.559615232","No"
"0xe5458bdb70c33eb27bf17dd5c38d004394c66b9c","6,942.405947561","No"
"0xce1f30784c85136910a0c2a0688940a39719b3e8","6,883.329057014","No"
"0xb35b56fadd185b3970a082d162742dfb7b21a895","6,763.572097742","No"
"0xa270a3894f45981a856dbab94b77de624b052c76","6,681.577483334","No"
"0xdeaf53c6633d02f8c8cc153a449aea7252fd746d","6,630.488810002","No"
"0x2ff7135b97479b116696db55efc1050f0c071fcb","6,526","No"
"0xee5408aef51428402cbd47fb594abb6ba49fd93e","6,486.401356464","No"
"0xe5abae4678d9c6af9756910c9e47416495489c71","6,485.49516125","No"
"0x5f8c4c42e8c85360f2dbf2b3422ef0d57c9ea8aa","6,362.915200009","No"
"0xe6a6d1c3d0f374bc6ba27512e508bc25769a65fc","6,350","No"
"0x9edeecde0caa92354cc4b12653dca74a74ca73d4","6,255","No"
"0x2eb0ab9ce5f9adfb9b37664e998005de0dfb06a8","6,124.360527531","No"
"0xc135388858f0b3303c540f099ac6e33a534cdab7","6,106.496011686","No"
"0x20450fcb4575bde87ee8e2543a94b817eb3a2cc2","5,957","No"
"0xa03dcf9b50ef6c0e685c4354e4f26a234675c4e4","5,874.448921938","No"
"0x997f46dc68a27a7823e5a6542276f9f6c8cdfc30","5,592","No"
"0x3ff1e76b3ccd7546eadfb6d214f2b3be76ecc64e","5,541","No"
"0x94bfb671b105f0d4c2a185e930473720da4a98ac","5,517.199532021","No"
"0x439adf205cbc9073933af2ee18e9928223d694c9","5,474.961722098","No"
"0x28dd6444eb76b3c5f0b9e738b0771cacd8a93008","5,357.756378768","No"
"0x6993e371e7a03e184584c396dc4dc6d6a47a86b4","5,162.192558096","No"
"0xa2998fea0d8055de28f1a8956efaedc21e4f8b0b","5,049.741429128","No"
"0x041dda4852be9dbba8557012a5bc8c5cefb2d8f5","5,001","No"
"0xde158774db868657edc4c54f4ca298b36521d506","4,974.849857624","No"
"0x20bb880d97025cfce5bbe15a73d1703ae4de9c85","4,970.992413516","No"
"0xe72391bf4e5d2089c4296190b6e8579ff402f12e","4,884.093250513","No"
"0x8fdc65c61aafc82abbbc379fc6772d4b00e3d25d","4,851.666299725","No"
"0x51ac5a21b2abe1ac383e95aa8843cbb772350460","4,756.142145356","No"
"0xcd5ba0f7117736171dd8b7e018903019967cf49c","4,704","No"
"0xde517af19f5b4116519967eee75a2d15d4236792","4,384.342724396","No"
"0xc601c6da24ee568e85cd927087facced59e934eb","4,312","No"
"0x69aaa2e9bf1fa202bc59370268481dbdd313b712","4,273","No"
"0x9620cf7e4b80500a1298370ffef61ce6415dd279","3,753","No"
"0x6c73627da7c65005b09f137462979e66058871ee","3,666.04217613","No"
"0x0f21fa3db696e2fb822f26dbc9979b7fb0fdcf77","3,615","No"
"0xf14a903cc2ff6572cc905fe2836a9f9b70516597","3,571.080945261","No"
"0x3dfc12339a2056a0b3751b1ebb0b376d38f98704","3,500","No"
"0xf3c646d41d2e995b26e816b94238f232c9f7a639","3,491","No"
"0xb7dffa7eec8892947bf7c4f6b38a12fae8cb1ecf","3,395.51159163","No"
"0xaf645fea8f9cb3f8861c25c2df3f1426928b89cc","3,341.534245126","No"
"0x3bce384f3e04c8571b40328d223248bda362da7f","3,223.893923393","No"
"0x4145b428280b5e194523b4eddf03cfc4f9e594da","3,160.955795052","No"
"0x9dc0963c9718a31b3b1a95c1cc84425cca85040d","3,072.748986479","No"
"0x50b85711808b5954ffa2742b975403222d3e1b8f","3,066.425758807","No"
"0x4bf7b8a3d1d9520d43b96c04523edb15ea4a2921","3,042","No"
"0x45a9035ff32ecab14148290cdeadbc5f95ae310a","3,024","No"
"0x9e4a9b7dffb36417e86a7b99642f549e14ac901b","2,939.123577223","No"
"0xad6895b1c7e237affc2a23c9a0f741f7815f1eca","2,873","No"
"0x5cdd115a940203a2ca256a0b94dcc815abe19ab9","2,864.874566451","No"
"0x9f718ee7b838603eb9b367bfe21af88eb1807b84","2,726.26361763","No"
"0x7c3408d6ff295cc5b9bd2454a929fdac73685f5d","2,700.278998778","No"
"0x2c1f1908db90bbecf308305a07f333218d0e8a46","2,689.545919757","No"
"0x8f1cf24d43c9c23297c8da41f9d8b63afe1afa27","2,653.251399447","No"
"0xadfb629ab09d8bb741f3b34427b8db0c0a17528e","2,650","No"
"0x87893c9d6c04ba02f28ace3e418c2bd995e46ce3","2,589","No"
"0xe612cff087a87a1a80964d9f6a101ffdffc0a10f","2,468.592837457","No"
"0xb0003c4bd4a3048c9d934d562b9540682ba82139","2,437.924571418","No"
"0x80c5af1e1a6da2459442c3ea39d899b542744a4c","2,397","No"
"0x0376fe68647ca26c2e62f47d5f1cc502dd1fd172","2,383.020207947","No"
"0x7bf8588b73da8206eef3ac62751948ffc2eac43e","2,365.157","No"
"0xa78bec51e825c9efebafd568511b5e429f95c3d5","2,347.98460794","No"
"0xccd8bd1563acfe00bd0215e465850ad93b7893d1","2,258.147632667","No"
"0x092a746518263dfa9075ceca0ef5c3cd2eb24c2c","2,204.730151528","No"
"0xda1afce0fccfca9f572a39307e2fa6bf9803f271","2,158.451097642","No"
"0xd55df4ebddd712f034a26b223faf956919859d8b","2,141","No"
"0x3a61f5d0ad99b5b1b47062fbe7c1e7fd317790a8","2,128","No"
"0xae775d6e57da5b519a69aa97bd56757e19a3776c","2,108.32549361","No"
"0x883f3dca297d267242157277ae4a361fd037590c","2,081.166778942","No"
"0x5f15086394100e5fea468a84313ac36acad28c5b","2,043.78004823","No"
"0xb0a044b609672ca99f616e12b4e2f58005063c0e","2,000","No"
"0xf904e56651d251a93561df39b77410815a3013bd","2,000","No"
"0xf536ef00040d04fb843222fdb023bbda173894b8","1,980","No"
"0x8f7fac746bedbeaa77ae0a9e78a5eecc38463bf1","1,979.735727496","No"
"0x5ca77524af010791e943cceec845d5697c29506f","1,969.159502903","No"
"0x3f4e1622e741cb2b951bae57565630f90bd6a1ba","1,850","No"
"0x8c0d18f8cb683ab6058f7f055543b6d89d999c6e","1,831.012224917","No"
"0x8d736b71e2869a4cd8170bbc20ee43fded96c0bf","1,804","No"
"0xb52b405b891d824afc5ad36c30227d0ee8045a6e","1,800","No"
"0xc70bc02ded8ff6d86b1ec1efd97c0ac57cdbe636","1,727.11074582","No"
"0x0f7ac6a517c9763657b85c2ad516be1f5dd2a27a","1,724","No"
"0xd4eb5697a51fc1d79f116b0d9d80b2a5d3f08405","1,715.983818739","No"
"0x4bf99b418e7c2deaa7777d7e6fb65e13fccebc94","1,673","No"
"0xefc2d66fc9245b84032ea7e8bccce50ae3e8160e","1,669.378138222","No"
"0x8ea7bf7bfbc800cf361efa0b2f923c25dd21c578","1,648.607075463","No"
"0x45e9eccf7c6d0d66be343795a783b77d5322a3aa","1,647.131876076","No"
"0xdece2aba0dbae5d3bd6e33b8578332890c53d72c","1,625.172898083","No"
"0x5d8fe5860e01843fa9c73093e5638006d64933b4","1,600","No"
"0xeb7fac6ce9ca7dfc6becaccd3c25bbc404b17433","1,542.225009011","No"
"0x02134387e5f03687354b448f14f9e618709b94a4","1,518.753239068","No"
"0x4e98adfcfe9940a28154fdc89266921757dc3fd6","1,506","No"
"0x7dd1a80200a2a2b5267552d54395c69cb125260e","1,505.976320235","No"
"0xc5035c7134b44e43ebd640b292dec078b080f5f4","1,500","No"
"0x77475ad5ea2127b288d0734c75c1a303bc005634","1,492.141792262","No"
"0x6a9d7270dfc53dcb6265bf6d56e913bbc0c1e2fc","1,446.985599526","No"
"0x0d2a0a3bb3ec2d06388b20ebc4511ef7668ea6db","1,430","No"
"0x49ee383c6ab984810b1bbd7726d6484fa41aa86e","1,414","No"
"0x85b1d93d415d67943b62bd8cb7c7ba5639465371","1,403.143640311","No"
"0xda16001f47ecd7dc4a07730e940ab8574c8bd152","1,393.366625778","No"
"0x29771fe328c7ab5f027ce6fb3f7ec7866d914153","1,356.189166309","No"
"0x99bef081cffcf2d5d836bf29336594bb71aa8f22","1,328","No"
"0x9efbbdfbafdd8c7cdd24bec3aae9aeb648d4f53c","1,320.15529202","No"
"0x86a732435c35cddb2d7b8bc0e59147541fc424f3","1,223.054105539","No"
"0x962d6c5052318b64c444cfc0cd133c3d0c59c324","1,215","No"
"0x633ba70a1cdddc1c10f4951c260d63bcbc064848","1,194.257245332","No"
"0xd6eec2accde5b70fae109b85a67ddcc5085f7ff3","1,183","No"
"0xbf4480cbe8729c1dd6a7937d92d4bfdeae09d43c","1,126.240406443","No"
"0x7a988497406d1f80beebba2994a3ce5323087041","1,113.654633464","No"
"0x98674921dd1a481e4ad0b7a379b8511e8b390ce0","1,106","No"
"0xb700d881218dd080442d3c192eb3036c30997223","1,034","No"
"0x2d3b7a969123482979ffd59e1e3a5ce8d36c2a20","1,031.756923816","No"
"0x35109b26bbbaab199d1bde92dc082875cce7801e","1,000","No"
"0xc9dea86188844bd607169ecfc349810127fa7df2","1,000","No"
"0xb7b6582ebb0c59cf3909e87d80b5b7ec0599a7af","977","No"
"0xbeee52d1f04bfffa4382c811de68ca6359e605d0","960.856564061","No"
"0x34902788938d4b4be1edc8a51f6d67757a0cd7a8","928","No"
"0x0741dc5157a6a02550d8afa3af5e7ec12c1b2b16","925.722589759","No"
"0xefda8c49cf5f837c984cd395f3508be5e6d9e52b","890.476623401","No"
"0xa90031f4ed7b945e232738037ef8b538d396f251","873","No"
"0x92fe02c86c8442cbd5846d18008bd5ba66bb2b6c","847","No"
"0xe5d89d01531666f56739ba6cee32cb4253d2b806","840","No"
"0x1c06e098d732775f1dd7216b020f65bd5f40b1b8","815.781487846","No"
"0x7afc5caab74d6864ebdf0025e2f9ccac800577cc","800","No"
"0xe97263415d8324a8ab2837eb6026ab683d1203ef","764.44555909","No"
"0x7b2a78fb8ced00390c0206ad2429d59610f52222","733.162875248","No"
"0xc68bb6f8c619f3ef924298af65ba39dd42b2a858","679","No"
"0x13343ee88b0ce278fdf88ff640affe68d93d97a7","665.020264891","No"
"0xee3524fcd7488983f5e52981ae9e9b43735111f1","655","No"
"0x2a7fdbf07a38fcf1c9b11e579a65c24b16068b0e","651","No"
"0x537aed81ed2b40fee37409eefa0cb1e1f05599a1","650","No"
"0x3580349090957f8f9b24a2f548001b565325a8fe","629","No"
"0xe52e9523f97cf0ffe12d0fbcb053024ae3713754","624","No"
"0xb0b50a7c0167c23b5779e12f32eee49df93efc0c","619","No"
"0x959ab70b14d6a278217749cbd12561b06fdbe3d7","605.902030745","No"
"0x4290300fc342b5ed022c1fb1146a6c9267893855","595","No"
"0x173588789c60a9f48c1bf6e7cbbd93c28cbcf47c","576","No"
"0x8fcb96d0e84d291b99d36121cafba5b95461f124","550","No"
"0x325c2c4b993e805bb3cac015d0bf9c10568119f5","521","No"
"0x9fca500ca2428164c5b9f72ada638a9abd431205","515","No"
"0x6a66e9eabd1d5f3e32c87fd320412eeb7bfa2e8c","513.927545239","No"
"0xc88c8638bcf097e7196b41a5e20bb3338e0b828f","511.736913994","No"
"0x0c0ce8117269d8d77b17114ec90a9dabe6605283","505","No"
